%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.attitude,field.utm_easting,field.utm_northing,field.quality
1582906574038186850,4526,1582906574037611961,,42.3389420617,-71.084424635,4.303,328288.443888,4689513.86165,4
1582906574247029816,4527,1582906574246812105,,42.338940365,-71.08442657,4.285,328288.279861,4689513.67716,4
1582906574445856444,4528,1582906574444890975,,42.338938615,-71.0844284383,4.28,328288.121181,4689513.48661,4
1582906574645469868,4529,1582906574644409894,,42.338937005,-71.084430405,4.294,328287.954781,4689513.3118,4
1582906574852294336,4530,1582906574851669073,,42.33893538,-71.08443244,4.277,328287.78271,4689513.13547,4
1582906575054163749,4531,1582906575053672075,,42.3389336367,-71.0844346333,4.278,328287.597274,4689512.94631,4
1582906575252801073,4532,1582906575252156972,,42.3389320483,-71.0844368283,4.292,328287.412122,4689512.77437,4
1582906575446283755,4533,1582906575445842027,,42.338930265,-71.0844387967,4.253,328287.245113,4689512.58032,4
1582906575638307493,4534,1582906575637898921,,42.3389285483,-71.0844409533,4.29,328287.06277,4689512.39405,4
1582906575847442600,4535,1582906575846481084,,42.33892706,-71.0844429833,4.294,328286.891484,4689512.23288,4
1582906576051853968,4536,1582906576051383972,,42.3389253583,-71.0844450617,4.28,328286.715635,4689512.04813,4
1582906576246485552,4537,1582906576245929956,,42.33892369,-71.0844470767,4.306,328286.545094,4689511.86694,4
1582906576438280529,4538,1582906576437751054,,42.3389220433,-71.08444903,4.265,328286.379692,4689511.68803,4
1582906576647531189,4539,1582906576646986007,,42.3389201283,-71.084450985,4.271,328286.213423,4689511.47934,4
1582906576843656974,4540,1582906576842636108,,42.3389185467,-71.0844530417,4.289,328286.039686,4689511.30786,4
1582906577047446939,4541,1582906577046962022,,42.3389169317,-71.084455265,4.26,328285.852127,4689511.13301,4
1582906577271058631,4542,1582906577270387887,,42.3389151383,-71.0844574117,4.28,328285.670399,4689510.93821,4
1582906577446672095,4543,1582906577446046113,,42.3389135933,-71.084459385,4.289,328285.503627,4689510.77064,4
1582906577643005656,4544,1582906577642359972,,42.33891182,-71.0844611683,4.265,328285.351885,4689510.57732,4
1582906577848453463,4545,1582906577847958087,,42.3389102133,-71.0844631267,4.283,328285.186181,4689510.40287,4
1582906578051320028,4546,1582906578050847053,,42.3389085467,-71.084465295,4.298,328285.003013,4689510.22218,4
1582906578266205054,4547,1582906578265703916,,42.338906835,-71.0844672683,4.267,328284.835786,4689510.0361,4
1582906578442537645,4548,1582906578441114902,,42.338905185,-71.084469515,4.298,328284.64621,4689509.85741,4
1582906578646632553,4549,1582906578645893096,,42.3389035617,-71.0844716117,4.281,328284.469064,4689509.68139,4
1582906578839623348,4550,1582906578838824033,,42.3389018683,-71.0844735083,4.287,328284.308204,4689509.49719,4
1582906579039427630,4551,1582906579038897991,,42.33890026,-71.0844755633,4.284,328284.134531,4689509.32274,4
1582906579260018737,4552,1582906579259496927,,42.3388987833,-71.084477535,4.279,328283.968082,4689509.16275,4
1582906579451152724,4553,1582906579450586080,,42.3388970733,-71.0844796717,4.285,328283.787404,4689508.97719,4
1582906579645809551,4554,1582906579645198106,,42.338895505,-71.0844816617,4.283,328283.619195,4689508.80705,4
1582906579848601645,4555,1582906579848217964,,42.3388937583,-71.0844836217,4.255,328283.452972,4689508.61706,4
1582906580044106671,4556,1582906580043476104,,42.33889196,-71.0844857033,4.287,328283.276585,4689508.42157,4
1582906580250252814,4557,1582906580249722003,,42.3388903267,-71.0844876817,4.287,328283.10916,4689508.2442,4
